DATE	GDPC1	GDPDEF
1947-01-01	2182.681	11.141
1947-04-01	2176.892	11.299
1947-07-01	2172.432	11.489
1947-10-01	2206.452	11.772
1948-01-01	2239.682	11.865
1948-04-01	2276.690	11.972
1948-07-01	2289.770	12.193
1948-10-01	2292.364	12.230
1949-01-01	2260.807	12.165
1949-04-01	2253.128	12.043
1949-07-01	2276.424	11.988
1949-10-01	2257.352	11.989
1950-01-01	2346.104	11.970
1950-04-01	2417.682	12.011
1950-07-01	2511.127	12.272
1950-10-01	2559.214	12.502
1951-01-01	2593.967	12.953
1951-04-01	2638.898	13.039
1951-07-01	2693.259	13.047
1951-10-01	2699.156	13.196
1952-01-01	2727.954	13.190
1952-04-01	2733.800	13.206
1952-07-01	2753.517	13.354
1952-10-01	2843.941	13.390
1953-01-01	2896.811	13.393
1953-04-01	2919.206	13.420
1953-07-01	2902.785	13.476
1953-10-01	2858.845	13.501
1954-01-01	2845.192	13.544
1954-04-01	2848.305	13.556
1954-07-01	2880.482	13.574
1954-10-01	2936.852	13.611
1955-01-01	3020.746	13.675
1955-04-01	3069.910	13.731
1955-07-01	3111.379	13.827
1955-10-01	3130.068	13.964
1956-01-01	3117.922	14.104
1956-04-01	3143.694	14.187
1956-07-01	3140.874	14.365
1956-10-01	3192.570	14.423
1957-01-01	3213.011	14.621
1957-04-01	3205.970	14.723
1957-07-01	3237.386	14.811
1957-10-01	3203.894	14.821
1958-01-01	3120.724	14.982
1958-04-01	3141.224	15.025
1958-07-01	3213.884	15.117
1958-10-01	3289.032	15.189
1959-01-01	3352.129	15.224
1959-04-01	3427.667	15.248
1959-07-01	3430.057	15.307
1959-10-01	3439.832	15.367
1960-01-01	3517.181	15.428
1960-04-01	3498.246	15.467
1960-07-01	3515.385	15.520
1960-10-01	3470.278	15.566
1961-01-01	3493.703	15.600
1961-04-01	3553.021	15.636
1961-07-01	3621.252	15.676
1961-10-01	3692.289	15.725
1962-01-01	3758.147	15.806
1962-04-01	3792.149	15.832
1962-07-01	3838.776	15.865
1962-10-01	3851.421	15.898
1963-01-01	3893.482	15.967
1963-04-01	3937.183	15.995
1963-07-01	4023.755	16.016
1963-10-01	4050.147	16.146
1964-01-01	4135.553	16.197
1964-04-01	4180.592	16.234
1964-07-01	4245.918	16.299
1964-10-01	4259.046	16.373
1965-01-01	4362.111	16.455
1965-04-01	4417.225	16.531
1965-07-01	4515.427	16.595
1965-10-01	4619.458	16.709
1966-01-01	4731.888	16.816
1966-04-01	4748.046	16.954
1966-07-01	4788.254	17.118
1966-10-01	4827.537	17.261
1967-01-01	4870.299	17.333
1967-04-01	4873.287	17.421
1967-07-01	4919.392	17.588
1967-10-01	4956.477	17.784
1968-01-01	5057.553	17.981
1968-04-01	5142.033	18.171
1968-07-01	5181.859	18.349
1968-10-01	5202.212	18.608
1969-01-01	5283.597	18.800
1969-04-01	5299.625	19.039
1969-07-01	5334.600	19.307
1969-10-01	5308.556	19.556
1970-01-01	5300.652	19.832
1970-04-01	5308.164	20.108
1970-07-01	5357.077	20.273
1970-10-01	5299.672	20.541
1971-01-01	5443.619	20.853
1971-04-01	5473.059	21.127
1971-07-01	5518.072	21.342
1971-10-01	5531.032	21.520
1972-01-01	5632.649	21.848
1972-04-01	5760.470	21.984
1972-07-01	5814.854	22.194
1972-10-01	5912.220	22.477
1973-01-01	6058.544	22.736
1973-04-01	6124.506	23.086
1973-07-01	6092.301	23.535
1973-10-01	6150.131	24.004
1974-01-01	6097.258	24.457
1974-04-01	6111.751	25.035
1974-07-01	6053.978	25.769
1974-10-01	6030.464	26.527
1975-01-01	5957.035	27.130
1975-04-01	5999.610	27.533
1975-07-01	6102.326	28.019
1975-10-01	6184.530	28.488
1976-01-01	6323.649	28.789
1976-04-01	6370.025	29.079
1976-07-01	6404.895	29.455
1976-10-01	6451.177	29.983
1977-01-01	6527.703	30.465
1977-04-01	6654.466	30.895
1977-07-01	6774.457	31.271
1977-10-01	6774.592	31.947
1978-01-01	6796.260	32.411
1978-04-01	7058.920	33.031
1978-07-01	7129.915	33.592
1978-10-01	7225.750	34.279
1979-01-01	7238.727	34.904
1979-04-01	7246.454	35.759
1979-07-01	7300.281	36.541
1979-10-01	7318.535	37.219
1980-01-01	7341.557	38.001
1980-04-01	7190.289	38.905
1980-07-01	7181.743	39.774
1980-10-01	7315.677	40.810
1981-01-01	7459.022	41.885
1981-04-01	7403.745	42.715
1981-07-01	7492.405	43.519
1981-10-01	7410.768	44.271
1982-01-01	7295.631	44.880
1982-04-01	7328.912	45.463
1982-07-01	7300.896	46.108
1982-10-01	7303.817	46.586
1983-01-01	7400.066	46.938
1983-04-01	7568.456	47.286
1983-07-01	7719.746	47.789
1983-10-01	7880.794	48.151
1984-01-01	8034.847	48.639
1984-04-01	8173.670	49.055
1984-07-01	8252.465	49.491
1984-10-01	8320.199	49.861
1985-01-01	8400.820	50.354
1985-04-01	8474.787	50.678
1985-07-01	8604.220	50.984
1985-10-01	8668.188	51.269
1986-01-01	8749.127	51.524
1986-04-01	8788.524	51.719
1986-07-01	8872.601	51.931
1986-10-01	8920.193	52.214
1987-01-01	8986.367	52.548
1987-04-01	9083.256	52.912
1987-07-01	9162.024	53.313
1987-10-01	9319.332	53.738
1988-01-01	9367.502	54.159
1988-04-01	9490.594	54.686
1988-07-01	9546.206	55.340
1988-10-01	9673.405	55.818
1989-01-01	9771.725	56.400
1989-04-01	9846.293	57.001
1989-07-01	9919.228	57.417
1989-10-01	9938.767	57.826
1990-01-01	10047.386	58.450
1990-04-01	10083.855	59.105
1990-07-01	10090.569	59.611
1990-10-01	9998.704	60.055
1991-01-01	9951.916	60.643
1991-04-01	10029.510	61.088
1991-07-01	10080.195	61.566
1991-10-01	10115.329	61.931
1992-01-01	10236.435	62.161
1992-04-01	10347.429	62.535
1992-07-01	10449.673	62.841
1992-10-01	10558.648	63.273
1993-01-01	10576.275	63.628
1993-04-01	10637.847	64.007
1993-07-01	10688.606	64.387
1993-10-01	10833.987	64.738
1994-01-01	10939.116	65.048
1994-04-01	11087.361	65.362
1994-07-01	11152.176	65.737
1994-10-01	11279.932	66.093
1995-01-01	11319.951	66.452
1995-04-01	11353.721	66.771
1995-07-01	11450.310	67.100
1995-10-01	11528.067	67.423
1996-01-01	11614.418	67.747
1996-04-01	11808.140	68.028
1996-07-01	11914.063	68.251
1996-10-01	12037.775	68.615
1997-01-01	12115.472	69.025
1997-04-01	12317.221	69.162
1997-07-01	12471.010	69.464
1997-10-01	12577.495	69.695
1998-01-01	12703.742	69.794
1998-04-01	12821.339	69.959
1998-07-01	12982.752	70.255
1998-10-01	13191.670	70.453
1999-01-01	13315.597	70.682
1999-04-01	13426.748	70.949
1999-07-01	13604.771	71.200
1999-10-01	13827.980	71.595
2000-01-01	13878.147	72.071
2000-04-01	14130.908	72.520
2000-07-01	14145.312	72.944
2000-10-01	14229.765	73.337
2001-01-01	14183.120	73.822
2001-04-01	14271.694	74.266
2001-07-01	14214.516	74.558
2001-10-01	14253.574	74.792
2002-01-01	14372.785	75.027
2002-04-01	14460.848	75.289
2002-07-01	14519.633	75.650
2002-10-01	14537.580	76.089
2003-01-01	14614.141	76.461
2003-04-01	14743.567	76.730
2003-07-01	14988.782	77.169
2003-10-01	15162.760	77.639
2004-01-01	15248.680	78.193
2004-04-01	15366.850	78.824
2004-07-01	15512.619	79.324
2004-10-01	15670.880	79.939
2005-01-01	15844.727	80.578
2005-04-01	15922.782	81.158
2005-07-01	16047.587	81.898
2005-10-01	16136.734	82.571
2006-01-01	16353.835	83.156
2006-04-01	16396.151	83.882
2006-07-01	16420.738	84.468
2006-10-01	16561.866	84.770
2007-01-01	16611.690	85.576
2007-04-01	16713.314	86.171
2007-07-01	16809.587	86.642
2007-10-01	16915.191	86.993
2008-01-01	16843.003	87.315
2008-04-01	16943.291	87.738
2008-07-01	16854.295	88.399
2008-10-01	16485.350	88.613
2009-01-01	16298.262	88.543
2009-04-01	16269.145	88.396
2009-07-01	16326.281	88.501
2009-10-01	16502.754	88.781
2010-01-01	16582.710	89.036
2010-04-01	16743.162	89.471
2010-07-01	16872.266	89.743
2010-10-01	16960.864	90.264
2011-01-01	16920.632	90.726
2011-04-01	17035.114	91.326
2011-07-01	17031.313	91.876
2011-10-01	17222.583	91.985
2012-01-01	17367.010	92.525
2012-04-01	17444.525	92.907
2012-07-01	17469.650	93.417
2012-10-01	17489.852	93.885
2013-01-01	17662.400	94.258
2013-04-01	17709.671	94.461
2013-07-01	17860.450	94.924
2013-10-01	18016.147	95.426
2014-01-01	17953.974	95.788
2014-04-01	18185.911	96.330
2014-07-01	18406.941	96.726
2014-10-01	18500.031	96.822
2015-01-01	18666.621	96.769
2015-04-01	18782.243	97.325
2015-07-01	18857.418	97.583
2015-10-01	18892.206	97.581
2016-01-01	19001.690	97.496
2016-04-01	19062.709	98.159
2016-07-01	19197.938	98.410
2016-10-01	19304.352	98.886
2017-01-01	19398.343	99.390
2017-04-01	19506.949	99.650
2017-07-01	19660.766	100.162
2017-10-01	19882.352	100.778
2018-01-01	20044.077	101.419
2018-04-01	20150.476	102.136
2018-07-01	20276.154	102.577
2018-10-01	20304.874	103.019
2019-01-01	20415.150	103.375
2019-04-01	20584.528	103.888
2019-07-01	20817.581	104.211
2019-10-01	20951.088	104.541
2020-01-01	20665.553	105.037
2020-04-01	19034.830	104.614
2020-07-01	20511.785	105.538
2020-10-01	20724.128	106.275
2021-01-01	20990.541	107.668
2021-04-01	21309.544	109.305
2021-07-01	21483.083	110.920
2021-10-01	21847.602	112.848
2022-01-01	21738.871	115.135
2022-04-01	21708.160	117.671
2022-07-01	21851.134	118.962
2022-10-01	21989.981	120.093
2023-01-01	22112.329	121.261
2023-04-01	22225.350	121.766
2023-07-01	22490.692	122.762
2023-10-01	22672.859	123.226
