DATE	GS1	INDPRO	PCEPI
1984-01-01	9.90	53.0175	47.564
1984-02-01	10.04	53.2651	47.884
1984-03-01	10.59	53.5145	48.041
1984-04-01	10.90	53.8319	48.224
1984-05-01	11.66	54.1204	48.285
1984-06-01	12.08	54.3133	48.371
1984-07-01	12.03	54.4644	48.544
1984-08-01	11.82	54.5300	48.693
1984-09-01	11.58	54.3775	48.759
1984-10-01	10.90	54.3528	48.874
1984-11-01	9.82	54.5344	48.943
1984-12-01	9.33	54.5608	49.081
1985-01-01	9.02	54.5342	49.326
1985-02-01	9.29	54.7019	49.555
1985-03-01	9.86	54.7739	49.749
1985-04-01	9.14	54.6662	49.821
1985-05-01	8.46	54.7472	49.939
1985-06-01	7.80	54.7211	50.075
1985-07-01	7.86	54.4381	50.198
1985-08-01	8.05	54.6190	50.364
1985-09-01	8.07	54.8200	50.449
1985-10-01	8.01	54.6304	50.533
1985-11-01	7.88	54.8176	50.680
1985-12-01	7.67	55.3596	50.850
1986-01-01	7.73	55.6511	51.084
1986-02-01	7.61	55.2700	51.084
1986-03-01	7.03	54.8828	50.972
1986-04-01	6.44	54.9456	50.868
1986-05-01	6.65	55.0535	50.961
1986-06-01	6.73	54.8370	51.151
1986-07-01	6.27	55.1716	51.164
1986-08-01	5.93	55.0792	51.228
1986-09-01	5.77	55.2317	51.396
1986-10-01	5.72	55.4645	51.488
1986-11-01	5.80	55.6854	51.580
1986-12-01	5.87	56.2120	51.651
1987-01-01	5.78	56.0012	51.894
1987-02-01	5.96	56.7438	52.076
1987-03-01	6.03	56.8235	52.214
1987-04-01	6.50	57.1954	52.409
1987-05-01	7.00	57.5498	52.542
1987-06-01	6.80	57.8603	52.741
1987-07-01	6.68	58.2501	52.863
1987-08-01	7.03	58.6889	53.072
1987-09-01	7.67	58.9137	53.251
1987-10-01	7.59	59.7083	53.420
1987-11-01	6.96	60.0022	53.521
1987-12-01	7.17	60.3336	53.620
1988-01-01	6.99	60.3186	53.828
1988-02-01	6.64	60.6209	53.908
1988-03-01	6.71	60.7591	54.093
1988-04-01	7.01	61.1144	54.356
1988-05-01	7.40	60.9952	54.514
1988-06-01	7.49	61.1697	54.746
1988-07-01	7.75	61.1749	55.012
1988-08-01	8.17	61.4851	55.175
1988-09-01	8.09	61.2844	55.444
1988-10-01	8.11	61.5595	55.625
1988-11-01	8.48	61.7128	55.754
1988-12-01	8.99	61.9983	55.928
1989-01-01	9.05	62.1789	56.215
1989-02-01	9.25	61.9074	56.402
1989-03-01	9.57	62.0592	56.612
1989-04-01	9.36	62.0424	56.989
1989-05-01	8.98	61.6948	57.197
1989-06-01	8.44	61.6915	57.322
1989-07-01	7.89	61.0978	57.459
1989-08-01	8.18	61.6949	57.466
1989-09-01	8.22	61.4839	57.594
1989-10-01	7.99	61.4105	57.819
1989-11-01	7.77	61.6172	57.945
1989-12-01	7.72	61.9635	58.113
1990-01-01	7.92	61.6440	58.553
1990-02-01	8.11	62.2108	58.811
1990-03-01	8.35	62.5068	59.033
1990-04-01	8.40	62.3597	59.157
1990-05-01	8.32	62.5474	59.290
1990-06-01	8.10	62.7541	59.552
1990-07-01	7.94	62.6497	59.699
1990-08-01	7.78	62.8761	60.096
1990-09-01	7.76	62.8960	60.465
1990-10-01	7.55	62.5060	60.811
1990-11-01	7.31	61.7271	60.888
1990-12-01	7.05	61.2939	60.945
1991-01-01	6.64	61.0931	61.177
1991-02-01	6.27	60.6522	61.208
1991-03-01	6.40	60.3069	61.221
1991-04-01	6.24	60.4658	61.332
1991-05-01	6.13	61.0671	61.586
1991-06-01	6.36	61.5611	61.690
1991-07-01	6.31	61.7230	61.787
1991-08-01	5.78	61.7360	61.931
1991-09-01	5.57	62.2464	62.144
1991-10-01	5.33	62.1825	62.260
1991-11-01	4.89	62.0983	62.397
1991-12-01	4.38	61.8108	62.553
1992-01-01	4.15	61.4898	62.638
1992-02-01	4.29	61.9299	62.797
1992-03-01	4.63	62.4490	62.949
1992-04-01	4.30	62.9312	63.119
1992-05-01	4.19	63.1359	63.203
1992-06-01	4.17	63.1736	63.315
1992-07-01	3.60	63.7408	63.524
1992-08-01	3.47	63.3917	63.609
1992-09-01	3.18	63.5927	63.713
1992-10-01	3.30	64.0282	63.938
1992-11-01	3.68	64.2732	64.064
1992-12-01	3.71	64.3668	64.176
1993-01-01	3.50	64.6256	64.332
1993-02-01	3.39	64.9290	64.429
1993-03-01	3.33	64.8720	64.561
1993-04-01	3.24	65.0611	64.733
1993-05-01	3.36	64.8104	64.933
1993-06-01	3.54	64.9553	64.955
1993-07-01	3.47	65.1198	65.059
1993-08-01	3.44	65.0494	65.170
1993-09-01	3.36	65.3882	65.238
1993-10-01	3.39	65.8702	65.443
1993-11-01	3.58	66.1779	65.567
1993-12-01	3.61	66.5602	65.582
1994-01-01	3.54	66.7722	65.604
1994-02-01	3.87	66.8068	65.756
1994-03-01	4.32	67.4832	65.937
1994-04-01	4.82	67.8771	66.015
1994-05-01	5.31	68.1961	66.111
1994-06-01	5.27	68.6526	66.272
1994-07-01	5.48	68.7353	66.481
1994-08-01	5.56	69.1954	66.634
1994-09-01	5.76	69.4017	66.708
1994-10-01	6.11	69.9690	66.821
1994-11-01	6.54	70.4367	66.948
1994-12-01	7.14	71.1413	66.991
1995-01-01	7.05	71.2762	67.127
1995-02-01	6.70	71.1904	67.246
1995-03-01	6.43	71.2891	67.370
1995-04-01	6.27	71.1623	67.547
1995-05-01	6.00	71.5044	67.651
1995-06-01	5.64	71.7430	67.717
1995-07-01	5.59	71.4459	67.802
1995-08-01	5.75	72.3800	67.948
1995-09-01	5.62	72.6601	67.995
1995-10-01	5.59	72.5428	68.171
1995-11-01	5.43	72.7178	68.169
1995-12-01	5.31	72.9672	68.300
1996-01-01	5.09	72.5866	68.452
1996-02-01	4.94	73.6389	68.560
1996-03-01	5.34	73.5202	68.767
1996-04-01	5.54	74.2664	68.973
1996-05-01	5.64	74.8145	69.092
1996-06-01	5.81	75.3779	69.091
1996-07-01	5.85	75.3754	69.237
1996-08-01	5.67	75.7568	69.303
1996-09-01	5.83	76.2304	69.499
1996-10-01	5.55	76.2193	69.709
1996-11-01	5.42	76.8941	69.833
1996-12-01	5.47	77.3731	69.914
1997-01-01	5.61	77.5138	70.005
1997-02-01	5.53	78.4246	70.151
1997-03-01	5.80	78.9266	70.225
1997-04-01	5.99	78.9924	70.294
1997-05-01	5.87	79.4411	70.262
1997-06-01	5.69	79.8048	70.352
1997-07-01	5.54	80.4800	70.394
1997-08-01	5.56	81.2862	70.450
1997-09-01	5.52	82.0380	70.620
1997-10-01	5.46	82.7657	70.712
1997-11-01	5.46	83.4321	70.716
1997-12-01	5.53	83.7826	70.701
1998-01-01	5.24	84.1656	70.736
1998-02-01	5.31	84.3048	70.699
1998-03-01	5.39	84.3416	70.710
1998-04-01	5.38	84.6263	70.798
1998-05-01	5.44	85.1839	70.895
1998-06-01	5.41	84.6809	70.835
1998-07-01	5.36	84.3448	71.010
1998-08-01	5.21	86.0846	71.108
1998-09-01	4.71	85.9945	71.067
1998-10-01	4.12	86.5967	71.223
1998-11-01	4.53	86.5114	71.226
1998-12-01	4.52	86.8608	71.298
1999-01-01	4.51	87.2277	71.398
1999-02-01	4.70	87.7266	71.358
1999-03-01	4.78	87.9203	71.412
1999-04-01	4.69	88.1153	71.757
1999-05-01	4.85	88.6554	71.804
1999-06-01	5.10	88.5958	71.826
1999-07-01	5.03	89.1235	72.017
1999-08-01	5.20	89.5116	72.148
1999-09-01	5.25	89.1361	72.407
1999-10-01	5.43	90.2842	72.529
1999-11-01	5.55	90.7631	72.594
1999-12-01	5.84	91.4926	72.763
2000-01-01	6.12	91.4251	72.961
2000-02-01	6.22	91.7357	73.191
2000-03-01	6.22	92.0933	73.505
2000-04-01	6.15	92.6838	73.444
2000-05-01	6.33	92.9376	73.505
2000-06-01	6.17	93.0076	73.754
2000-07-01	6.08	92.8458	73.939
2000-08-01	6.18	92.5972	73.934
2000-09-01	6.13	92.9653	74.252
2000-10-01	6.01	92.6418	74.353
2000-11-01	6.09	92.6618	74.457
2000-12-01	5.60	92.3459	74.571
2001-01-01	4.81	91.8903	74.932
2001-02-01	4.68	91.2915	75.048
2001-03-01	4.30	91.0526	75.055
2001-04-01	3.98	90.7293	75.187
2001-05-01	3.78	90.2577	75.385
2001-06-01	3.58	89.7677	75.518
2001-07-01	3.62	89.2260	75.493
2001-08-01	3.47	89.1326	75.484
2001-09-01	2.82	88.6679	75.227
2001-10-01	2.33	88.3926	75.492
2001-11-01	2.18	87.8774	75.441
2001-12-01	2.22	87.8344	75.363
2002-01-01	2.16	88.4665	75.431
2002-02-01	2.23	88.4661	75.558
2002-03-01	2.57	89.1228	75.763
2002-04-01	2.48	89.5532	76.080
2002-05-01	2.35	89.9340	76.130
2002-06-01	2.20	90.6769	76.225
2002-07-01	1.96	90.6455	76.393
2002-08-01	1.76	90.5475	76.543
2002-09-01	1.72	90.6381	76.681
2002-10-01	1.65	90.4041	76.821
2002-11-01	1.49	90.8985	76.897
2002-12-01	1.45	90.3890	76.971
2003-01-01	1.36	91.1355	77.201
2003-02-01	1.30	91.2502	77.526
2003-03-01	1.24	91.0059	77.725
2003-04-01	1.27	90.4281	77.593
2003-05-01	1.18	90.4073	77.504
2003-06-01	1.01	90.5218	77.588
2003-07-01	1.12	90.9896	77.816
2003-08-01	1.31	90.7858	78.079
2003-09-01	1.24	91.3829	78.323
2003-10-01	1.25	91.5005	78.333
2003-11-01	1.34	92.1265	78.432
2003-12-01	1.31	92.1722	78.605
2004-01-01	1.24	92.3270	78.909
2004-02-01	1.24	92.8873	79.077
2004-03-01	1.19	92.5325	79.199
2004-04-01	1.43	92.9096	79.346
2004-05-01	1.78	93.5838	79.604
2004-06-01	2.12	92.8621	79.831
2004-07-01	2.10	93.5511	79.905
2004-08-01	2.02	93.6328	79.946
2004-09-01	2.12	93.7418	80.104
2004-10-01	2.23	94.5671	80.448
2004-11-01	2.50	94.8000	80.758
2004-12-01	2.67	95.5426	80.801
2005-01-01	2.86	95.8831	80.907
2005-02-01	3.03	96.5616	81.132
2005-03-01	3.30	96.4371	81.375
2005-04-01	3.32	96.6280	81.603
2005-05-01	3.33	96.7306	81.649
2005-06-01	3.36	97.1488	81.700
2005-07-01	3.64	96.8383	82.046
2005-08-01	3.87	97.1603	82.377
2005-09-01	3.85	95.2729	83.172
2005-10-01	4.18	96.4383	83.305
2005-11-01	4.33	97.4951	83.131
2005-12-01	4.35	97.9788	83.131
2006-01-01	4.45	98.1305	83.534
2006-02-01	4.68	98.1779	83.584
2006-03-01	4.77	98.3898	83.746
2006-04-01	4.90	98.6769	84.135
2006-05-01	5.00	98.7052	84.361
2006-06-01	5.16	99.0427	84.569
2006-07-01	5.22	98.9804	84.858
2006-08-01	5.08	99.4106	85.125
2006-09-01	4.97	99.2207	84.902
2006-10-01	5.01	99.1253	84.702
2006-11-01	5.01	99.0969	84.731
2006-12-01	4.94	100.1122	85.032
2007-01-01	5.06	99.7571	85.316
2007-02-01	5.05	100.7275	85.581
2007-03-01	4.92	100.9023	85.894
2007-04-01	4.93	101.5874	86.096
2007-05-01	4.91	101.6299	86.346
2007-06-01	4.96	101.6482	86.529
2007-07-01	4.96	101.4925	86.661
2007-08-01	4.47	101.6874	86.720
2007-09-01	4.14	101.9398	87.054
2007-10-01	4.10	101.6345	87.318
2007-11-01	3.50	102.2068	87.781
2007-12-01	3.26	102.2604	87.984
2008-01-01	2.71	102.1400	88.206
2008-02-01	2.05	101.7671	88.382
2008-03-01	1.54	101.4355	88.635
2008-04-01	1.74	100.7424	88.799
2008-05-01	2.06	100.1320	89.180
2008-06-01	2.42	99.8651	89.827
2008-07-01	2.28	99.4214	90.245
2008-08-01	2.18	97.8448	90.172
2008-09-01	1.91	93.5590	90.247
2008-10-01	1.42	94.4956	89.651
2008-11-01	1.07	93.2689	88.593
2008-12-01	0.49	90.6280	88.098
2009-01-01	0.44	88.3811	88.108
2009-02-01	0.62	87.8412	88.266
2009-03-01	0.64	86.4794	88.169
2009-04-01	0.55	85.7883	88.295
2009-05-01	0.50	84.9516	88.387
2009-06-01	0.51	84.6928	88.912
2009-07-01	0.48	85.7044	88.922
2009-08-01	0.46	86.6617	89.180
2009-09-01	0.40	87.4033	89.324
2009-10-01	0.37	87.6035	89.663
2009-11-01	0.31	87.9559	89.887
2009-12-01	0.37	88.2468	89.939
2010-01-01	0.35	89.1911	90.136
2010-02-01	0.35	89.4972	90.134
2010-03-01	0.40	90.1419	90.261
2010-04-01	0.45	90.4591	90.310
2010-05-01	0.37	91.7020	90.339
2010-06-01	0.32	91.8997	90.301
2010-07-01	0.29	92.2522	90.378
2010-08-01	0.26	92.5899	90.502
2010-09-01	0.26	92.8564	90.592
2010-10-01	0.23	92.6037	90.881
2010-11-01	0.25	92.6773	91.062
2010-12-01	0.29	93.5851	91.268
2011-01-01	0.27	93.3944	91.542
2011-02-01	0.29	92.9930	91.797
2011-03-01	0.26	93.9820	92.166
2011-04-01	0.25	93.6525	92.557
2011-05-01	0.19	93.7775	92.838
2011-06-01	0.18	94.0467	92.819
2011-07-01	0.19	94.4931	92.977
2011-08-01	0.11	95.0969	93.196
2011-09-01	0.10	95.0281	93.327
2011-10-01	0.11	95.6924	93.329
2011-11-01	0.11	95.6913	93.520
2011-12-01	0.12	96.1938	93.574
2012-01-01	0.12	96.7790	93.894
2012-02-01	0.16	97.0959	94.104
2012-03-01	0.19	96.5919	94.284
2012-04-01	0.18	97.2942	94.408
2012-05-01	0.19	97.4853	94.302
2012-06-01	0.19	97.4959	94.254
2012-07-01	0.19	97.6922	94.288
2012-08-01	0.18	97.3061	94.605
2012-09-01	0.18	97.2383	94.893
2012-10-01	0.18	97.5425	95.174
2012-11-01	0.18	97.9340	95.109
2012-12-01	0.16	98.1984	95.094
2013-01-01	0.15	98.2029	95.275
2013-02-01	0.16	98.6733	95.614
2013-03-01	0.15	99.0788	95.488
2013-04-01	0.12	98.9658	95.391
2013-05-01	0.12	99.0567	95.461
2013-06-01	0.14	99.2424	95.673
2013-07-01	0.12	98.9258	95.792
2013-08-01	0.13	99.5059	95.934
2013-09-01	0.12	100.0391	95.976
2013-10-01	0.12	99.9203	96.103
2013-11-01	0.12	100.1661	96.246
2013-12-01	0.13	100.3777	96.414
2014-01-01	0.12	99.9990	96.614
2014-02-01	0.12	100.7583	96.660
2014-03-01	0.13	101.7767	96.815
2014-04-01	0.11	101.8425	96.987
2014-05-01	0.10	102.2594	97.147
2014-06-01	0.10	102.5986	97.253
2014-07-01	0.11	102.8163	97.391
2014-08-01	0.11	102.6562	97.379
2014-09-01	0.11	102.9776	97.413
2014-10-01	0.10	102.9892	97.384
2014-11-01	0.13	103.6402	97.291
2014-12-01	0.21	103.6345	97.120
2015-01-01	0.20	102.8239	96.654
2015-02-01	0.22	102.1513	96.825
2015-03-01	0.25	101.8240	97.008
2015-04-01	0.23	101.2440	97.094
2015-05-01	0.24	100.7830	97.327
2015-06-01	0.28	100.4781	97.516
2015-07-01	0.30	101.1052	97.605
2015-08-01	0.38	100.9442	97.612
2015-09-01	0.37	100.6507	97.477
2015-10-01	0.26	100.1871	97.477
2015-11-01	0.48	99.4382	97.538
2015-12-01	0.65	98.9390	97.456
2016-01-01	0.54	99.4558	97.496
2016-02-01	0.53	98.9136	97.445
2016-03-01	0.66	98.1907	97.673
2016-04-01	0.56	98.4669	97.993
2016-05-01	0.59	98.2518	98.153
2016-06-01	0.55	98.7275	98.325
2016-07-01	0.51	98.8360	98.342
2016-08-01	0.57	98.7554	98.479
2016-09-01	0.59	98.6596	98.666
2016-10-01	0.66	98.7322	98.868
2016-11-01	0.74	98.3452	98.901
2016-12-01	0.87	99.0314	99.071
2017-01-01	0.83	98.7987	99.451
2017-02-01	0.82	98.4322	99.586
2017-03-01	1.01	99.0663	99.535
2017-04-01	1.04	100.0082	99.725
2017-05-01	1.12	100.1286	99.682
2017-06-01	1.20	100.3233	99.766
2017-07-01	1.22	100.0947	99.803
2017-08-01	1.23	99.6642	100.027
2017-09-01	1.28	99.7686	100.400
2017-10-01	1.40	100.9981	100.531
2017-11-01	1.56	101.2597	100.675
2017-12-01	1.70	101.4573	100.821
2018-01-01	1.80	101.3939	101.199
2018-02-01	1.96	101.7656	101.416
2018-03-01	2.06	102.2441	101.524
2018-04-01	2.15	103.3468	101.766
2018-05-01	2.27	102.3911	101.941
2018-06-01	2.33	103.1924	102.029
2018-07-01	2.39	103.3334	102.137
2018-08-01	2.45	104.0807	102.208
2018-09-01	2.56	104.1181	102.418
2018-10-01	2.65	103.9397	102.595
2018-11-01	2.70	104.0007	102.630
2018-12-01	2.66	103.9946	102.701
2019-01-01	2.58	103.3730	102.714
2019-02-01	2.55	102.8292	102.862
2019-03-01	2.49	102.8286	103.056
2019-04-01	2.42	102.2481	103.371
2019-05-01	2.34	102.4192	103.426
